tweet_id,retweet_count,favorite_count,tweet_length,hashtags
892420643555336193,8853,39467,85,
892177421306343426,6514,33819,138,
891815181378084864,4328,25461,121,
891689557279858688,8964,42908,79,
891327558926688256,9774,41048,138,BarkWeek
891087950875897856,3261,20562,138,BarkWeek
890971913173991426,2158,12041,140,
890729181411237888,16716,56848,118,
890609185150312448,4429,28226,122,BarkWeek
890240255349198849,7711,32467,133,
890006608113172480,7624,31166,130,BarkWeek
889880896479866881,5156,28268,107,
889665388333682689,8538,38818,106,
889638837579907072,4735,27672,91,
889531135344209921,2321,15359,118,BarkWeek
889278841981685760,5637,25652,138,BarkWeek
888917238123831296,4709,29611,86,
888804989199671297,4559,26080,128,
888554962724278272,3732,20290,87,
888078434458587136,3653,22201,127,
887705289381826560,5609,30779,127,
887517139158093824,12082,46959,108,
887473957103951883,18781,69871,99,
887343217045368832,10737,34222,88,
887101392804085760,6167,31061,129,
886983233522544640,8084,35859,101,
886736880519319552,3443,12306,121,
886680336477933568,4610,22798,71,
886366144734445568,3316,21524,131,
886267009285017600,4,117,105,
886258384151887873,6523,28469,94,
886054160059072513,108,0,50,BATP
885984800019947520,7097,33382,140,
885528943205470208,6683,36689,109,
885518971528720385,3899,20788,47,
885311592912609280,19297,0,133,
885167619883638784,4556,22367,134,
884925521741709313,16439,68152,93,
884876753390489601,6096,28514,118,
884562892145688576,5100,24765,66,
884441805382717440,5856,27478,136,
884247878851493888,21298,74423,104,
884162670584377345,3128,20771,140,
883838122936631299,3586,22349,137,
883482846933004288,10407,46860,112,
883360690899218434,3825,22986,139,
883117836046086144,6949,37914,111,
882992080364220416,4122,24445,108,
882762694511734784,5134,28903,114,
882627270321602560,6342,28382,136,
882268110199369728,12118,45880,114,
882045870035918850,5203,29900,133,
881906580714921986,3533,24773,67,
881666595344535552,11099,51522,115,
881633300179243008,7,129,91,
881536004380872706,16570,50199,130,
881268444196462592,5358,23501,138,Canada150
880935762899988482,2886,17346,72,
